frame,image,timestamp,throttle,steering
44,000044.jpg,109630.810689,0.0,0.0
45,000045.jpg,109630.883285,0.0,0.0
46,000046.jpg,109630.957160,0.0,0.0
47,000047.jpg,109631.094916,0.0,0.0
48,000048.jpg,109631.097513,0.0,0.0
49,000049.jpg,109631.167014,0.0,0.0
50,000050.jpg,109631.249389,0.0,0.0
51,000051.jpg,109631.324572,0.0,0.0
52,000052.jpg,109631.454223,0.0,0.0
53,000053.jpg,109631.455619,0.0,0.0
54,000054.jpg,109631.529656,0.0,0.0
55,000055.jpg,109631.601851,0.0,0.0
56,000056.jpg,109631.683640,0.0,0.0
57,000057.jpg,109631.815869,0.0,0.0
58,000058.jpg,109631.819671,0.0,0.0
59,000059.jpg,109631.889526,0.0,0.0
60,000060.jpg,109631.971526,0.0,0.0
61,000061.jpg,109632.101546,0.0,0.0
62,000062.jpg,109632.106051,0.0,0.0
63,000063.jpg,109632.174365,0.0,0.0
64,000064.jpg,109632.248880,0.0,0.0
65,000065.jpg,109632.333089,0.0,0.0
66,000066.jpg,109632.397279,0.0,0.0
67,000067.jpg,109632.484147,0.0,0.0
68,000068.jpg,109632.545180,0.0,0.0
69,000069.jpg,109632.682484,0.0,0.0
70,000070.jpg,109632.685066,0.0,0.0
71,000071.jpg,109632.758389,0.0,0.0
72,000072.jpg,109632.825196,0.0,0.0
73,000073.jpg,109632.897723,0.0,0.0
74,000074.jpg,109632.969003,0.0,0.0
75,000075.jpg,109633.051128,0.0,0.0
76,000076.jpg,109633.115565,0.0,0.0
77,000077.jpg,109633.193723,0.0,0.0
78,000078.jpg,109633.274329,0.0,0.0
79,000079.jpg,109633.405252,0.0,0.0
80,000080.jpg,109633.406886,0.0,0.0
81,000081.jpg,109633.479373,0.0,0.0
82,000082.jpg,109633.544690,0.0,0.0
83,000083.jpg,109633.618001,0.0,0.0
84,000084.jpg,109633.692221,0.0,0.0
85,000085.jpg,109633.771022,0.0,0.0
86,000086.jpg,109633.868656,0.0,0.0
87,000087.jpg,109633.977032,0.0,0.0
88,000088.jpg,109633.980431,0.0,0.0
89,000089.jpg,109634.052224,0.0,0.0
90,000090.jpg,109634.131552,0.0,0.0
91,000091.jpg,109634.271040,0.0,0.0
92,000092.jpg,109634.273177,0.0,0.0
93,000093.jpg,109634.337713,0.0,0.0
94,000094.jpg,109634.425082,0.0,0.0
95,000095.jpg,109634.560396,0.0,0.0
96,000096.jpg,109634.564466,0.0,0.0
97,000097.jpg,109634.629215,0.0,0.0
98,000098.jpg,109634.708132,0.0,0.0
99,000099.jpg,109634.844762,0.0,0.0
100,000100.jpg,109634.846005,0.0,0.0
101,000101.jpg,109634.916154,0.0,0.0
102,000102.jpg,109635.023910,0.0,0.0
103,000103.jpg,109635.128373,0.0,0.0
104,000104.jpg,109635.130924,0.0,0.0
105,000105.jpg,109635.203369,0.0,0.0
106,000106.jpg,109635.275912,0.0,0.0
107,000107.jpg,109635.365344,0.0,0.0
108,000108.jpg,109635.488468,0.0,0.0
109,000109.jpg,109635.490217,0.0,0.0
110,000110.jpg,109635.566331,0.0,0.0
111,000111.jpg,109635.637759,0.0,0.0
112,000112.jpg,109635.777968,0.0,0.0
113,000113.jpg,109635.780806,0.0,0.0
114,000114.jpg,109635.855251,0.0,0.0
115,000115.jpg,109635.923934,0.0,0.0
116,000116.jpg,109635.998613,0.0,0.0
117,000117.jpg,109636.138371,0.0,0.0
118,000118.jpg,109636.140866,0.0,0.0
119,000119.jpg,109636.211014,0.0,0.0
120,000120.jpg,109636.287760,0.0,0.0
121,000121.jpg,109636.441756,0.0,0.0
122,000122.jpg,109636.443651,0.0,0.0
123,000123.jpg,109636.498774,0.0,0.0
124,000124.jpg,109636.641097,0.0,0.0
125,000125.jpg,109636.643590,0.0,0.0
126,000126.jpg,109636.716447,0.0,0.0
127,000127.jpg,109636.791643,0.0,0.0
128,000128.jpg,109636.930046,0.0,0.0
129,000129.jpg,109636.932850,0.0,0.0
130,000130.jpg,109637.002868,0.0,0.0
131,000131.jpg,109637.145637,0.0,0.0
132,000132.jpg,109637.148928,0.0,0.0
133,000133.jpg,109637.227715,0.0,0.0
134,000134.jpg,109637.294041,0.0,0.0
135,000135.jpg,109637.434550,0.0,0.0
136,000136.jpg,109637.436641,0.0,0.0
137,000137.jpg,109637.506128,0.0,0.0
138,000138.jpg,109637.592552,0.0,0.0
139,000139.jpg,109637.721856,0.0,0.0
140,000140.jpg,109637.727732,0.0,0.0
141,000141.jpg,109637.801643,0.0,0.0
